0.0000000e+00       0.0000000e+00       0.0000000e+00       1.0000000e+00       1.0000000e+00       1.0000000e+00      -1.0000000e+00                   
5.0000000e-01      -3.9137578e-02      -3.9137578e-02       1.0280821e+00       9.9145437e-01       9.9145437e-01      -4.9307470e-01                   
1.0000000e+00      -1.0656865e-01      -1.0656865e-01       1.0431631e+00       9.5596848e-01       9.5596848e-01       2.5948609e-02                   
1.5000000e+00      -1.8225716e-01      -1.8225716e-01       1.0198283e+00       8.8344209e-01       8.8344209e-01       5.4337489e-01                   
2.0000000e+00      -2.3705814e-01      -2.3705814e-01       9.6892858e-01       7.7737172e-01       7.7737172e-01       1.0409788e+00                   
2.5000000e+00      -2.6258976e-01      -2.6258976e-01       9.2496166e-01       6.5140873e-01       6.5140873e-01       1.5136183e+00                   
3.0000000e+00      -2.7017636e-01      -2.7017636e-01       9.0347066e-01       5.1775937e-01       5.1775937e-01       1.9698544e+00                   
3.5000000e+00      -2.7157419e-01      -2.7157419e-01       8.9711304e-01       3.8220847e-01       3.8220847e-01       2.4196123e+00                   
4.0000000e+00      -2.7172649e-01      -2.7172649e-01       8.9595810e-01       2.4636747e-01       2.4636747e-01       2.8677864e+00                   
4.5000000e+00      -2.7173546e-01      -2.7173546e-01       8.9582859e-01       1.1050081e-01       1.1050081e-01       3.3157200e+00                   
